,station_id,unleaded,super_unleaded,diesel,premium_diesel,station_unleaded_date,station_super_unleaded_date,station_diesel_date,station_premium_diesel_date
0,25918,151.9,164.9,153.9,169.9,13.10.2021,13.10.2021,13.10.2021,13.10.2021
1,9635,140.9,,144.9,,17.10.2021,,17.10.2021,
2,880,135.9,142.9,138.9,,17.10.2021,13.10.2021,13.10.2021,
3,883,142.9,,145.9,159.9,13.10.2021,,13.10.2021,13.10.2021
4,186,137.9,,141.9,,16.10.2021,,16.10.2021,
5,7027,139.9,,143.9,,13.10.2021,,13.10.2021,
6,1321,,,146.9,165.9,,,14.10.2021,13.10.2021
7,184,,,141.9,,,,14.10.2021,
8,185,139.9,,143.9,,13.10.2021,,14.10.2021,
9,188,139.9,,143.9,,13.10.2021,,14.10.2021,
10,5174,141.9,153.9,141.9,152.9,13.10.2021,13.10.2021,14.10.2021,13.10.2021
11,5173,141.9,153.9,142.9,153.9,13.10.2021,13.10.2021,14.10.2021,13.10.2021
12,1314,141.9,153.9,143.9,157.9,15.10.2021,13.10.2021,13.10.2021,13.10.2021
13,1395,141.9,155.9,143.9,156.9,13.10.2021,13.10.2021,13.10.2021,13.10.2021
14,1394,141.9,,,155.9,13.10.2021,,,13.10.2021
15,1312,134.9,141.9,140.9,,15.10.2021,15.10.2021,15.10.2021,
16,2577,137.9,,139.9,,13.10.2021,,13.10.2021,
17,17578,144.9,,147.9,,14.10.2021,,14.10.2021,
18,1398,141.9,,142.9,155.9,15.10.2021,,13.10.2021,13.10.2021
19,1325,136.9,138.9,144.9,,12.10.2021,14.10.2021,13.10.2021,
20,26275,136.7,,139.7,,14.10.2021,,14.10.2021,
21,7669,139.9,,143.9,,16.10.2021,,17.10.2021,
22,1390,139.9,,140.9,,16.10.2021,,18.10.2021,
23,179,144.9,,147.9,159.9,15.10.2021,,15.10.2021,15.10.2021
24,1400,146.9,161.9,148.9,,16.10.2021,13.10.2021,16.10.2021,
25,1354,142.9,,145.9,,16.10.2021,,16.10.2021,
26,1869,139.9,143.9,140.9,,16.10.2021,16.10.2021,16.10.2021,
27,862,139.9,139.9,143.9,,13.10.2021,14.10.2021,14.10.2021,
28,18219,137.9,,139.9,,17.10.2021,,17.10.2021,
29,881,,159.9,146.9,,,13.10.2021,14.10.2021,
30,9634,,,,,,,,
31,1317,140.9,,144.9,,15.10.2021,,15.10.2021,
32,1311,,,142.9,,,,14.10.2021,
33,3895,142.9,,144.9,157.9,13.10.2021,,13.10.2021,13.10.2021
34,1319,138.9,,141.9,,13.10.2021,,13.10.2021,
35,183,138.9,,141.9,156.9,13.10.2021,,13.10.2021,17.10.2021
36,1315,141.9,,145.9,,15.10.2021,,13.10.2021,
37,3049,139.9,,143.9,,13.10.2021,,14.10.2021,
38,5527,,139.9,143.9,,,13.10.2021,14.10.2021,
39,9606,139.9,139.9,142.9,,13.10.2021,14.10.2021,13.10.2021,
40,1397,140.9,,142.9,,15.10.2021,,15.10.2021,
41,5866,,,,,,,,
42,5248,134.9,138.9,138.9,,13.10.2021,12.10.2021,13.10.2021,
43,6978,,,143.9,157.9,,,13.10.2021,13.10.2021
44,1306,139.9,,143.9,,13.10.2021,,13.10.2021,
45,6228,141.9,,141.9,150.9,18.10.2021,,18.10.2021,13.10.2021
46,1209,144.9,,148.9,,15.10.2021,,14.10.2021,
47,1818,,,,160.9,,,,12.10.2021
48,1819,,,145.9,,,,14.10.2021,
49,190,141.9,,145.9,,17.10.2021,,17.10.2021,
50,26230,136.7,,140.7,,17.10.2021,,17.10.2021,
51,1825,145.9,155.9,145.9,159.9,18.10.2021,13.10.2021,13.10.2021,13.10.2021
52,1402,139.9,,139.9,,15.10.2021,,15.10.2021,
53,1388,141.9,,142.9,,13.10.2021,,13.10.2021,
54,1387,141.9,,142.9,,14.10.2021,,14.10.2021,
55,1389,141.9,,145.9,159.9,13.10.2021,,13.10.2021,13.10.2021
56,1386,141.9,,142.9,,16.10.2021,,16.10.2021,
57,1355,140.0,,143.9,,13.10.2021,,13.10.2021,
58,12511,136.9,140.9,138.9,,18.10.2021,18.10.2021,18.10.2021,
59,1421,143.9,,148.9,162.9,13.10.2021,,13.10.2021,13.10.2021
60,1419,,141.9,147.9,,,14.10.2021,14.10.2021,
61,1379,136.9,149.9,142.9,155.9,16.10.2021,16.10.2021,16.10.2021,16.10.2021
62,12514,138.9,143.9,140.9,,17.10.2021,11.10.2021,17.10.2021,
63,1828,139.9,153.9,143.9,158.9,13.10.2021,09.10.2021,14.10.2021,09.10.2021
64,1827,,,,,,,,
65,4431,141.9,,143.9,157.9,13.10.2021,,13.10.2021,13.10.2021
66,1821,145.9,,147.9,,16.10.2021,,16.10.2021,
67,1824,143.9,157.9,146.9,157.9,13.10.2021,13.10.2021,14.10.2021,13.10.2021
