,station_id,lat,lng,Unnamed: 0,name,station_location,CAR WASH,AIR & WATER,CAR VACUUM,24/7 OPENING HOURS,TOILET,CONVENIENCE STORE,ATM,PARKING FACILITIES,DISABLED TOILET/BABY CHANGE,ALCOHOL,WI-FI,HGV/PSV FUELING,FUELSERVICE,PAYPHONE,RESTAURANT,ELECTRIC CAR CHARGING,REPAIR GARAGE,SHOWER FACILITIES
0,25918,51.3042081,-0.4057422,0,M25 COBHAM MOTORWAY SERVICE AREA,"M25 J9-10, KT11 3DB",,,,,,,,,,,,,,,,,,
1,9635,51.277581,-0.365992,1,ESSO LEATHERHEAD ROAD (HYLANDS GARAGE),"LEATHERHEAD ROAD, KT23 4RQ",True,True,True,True,True,True,True,True,,,,,,,,,,
2,880,51.33358399999999,-0.4222703,2,SAINSBURYS COBHAM,"PORTSMOUTH ROAD, KT11 1JF",True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,
3,883,51.3373617,-0.4047303,3,SHELL PORTSMOUTH ROAD (SHELL FAIRMILE),"PORTSMOUTH ROAD, KT11 1HU",True,True,,,,True,True,,,,,,,,,,,
4,186,51.3116633,-0.3354788,4,TESCO LEATHERHEAD,"OXSHOTT ROAD, KT22 0EF",True,True,True,True,,True,True,True,,,,True,,,,,,
5,7027,51.2623541,-0.4309881,5,SHELL EAST HORSLEY (SHELL HORSLEY),"GUILDFORD ROAD, KT24 6TA",True,True,True,,True,True,True,True,,True,True,,,True,,,,
6,185,51.3019446,-0.3302396,8,ESSO KINGSTON ROAD (RSS KINGSCROFT),"KINGSTON ROAD, KT22 7SP",,,,True,,True,True,True,,True,,,,,True,,,
7,188,51.2825822,-0.3268569,9,ESSO GIVONS GROVE (RSS LEATHERHEAD),"GIVONS GROVE, KT22 8LY",True,True,True,,True,True,,,True,True,,,,,,,,
8,5174,51.29295,-0.49001,10,BP A3 RIPLEY BYPASS (WISLEY SOUTH SF CONNECT),"A3 RIPLEY BYPASS, GU23 6PU",,True,True,True,True,True,True,True,,True,,True,,,,,,
9,5173,51.29295,-0.49001,11,BP A3 RIPLEY BYPASS (WISLEY NORTH SF CONNECT),"A3 RIPLEY BYPASS, GU23 6PT",,,,,,,,,,,,,,,,,,
10,1314,51.3465862,-0.4630118,12,SHELL BROOKLANDS ROAD (SHELL ST GEORGES),"BROOKLANDS ROAD, KT13 0RP",,True,,True,True,True,True,,,,,,,,,,,
11,1395,51.3089711,-0.3011127,13,SHELL ASHTEAD (SHELL ASHTEAD),"THE STREET, KT21 2AD",,True,,,True,True,,,,,,,,,,,,
12,1394,51.3383913,-0.3192888,14,BP CHESSINGTON (RUSHETT SF CONNECT),"LEATHERHEAD ROAD, KT9 2NH",,,,,True,True,True,,,True,,,,,,,,
13,1312,51.3448276,-0.4752797,15,TESCO BROOKLANDS EXTRA,"BARNES WALLACE DRIVE, KT13 0XF",True,True,True,True,,True,,,,,,,,,,,,
14,1317,51.3681835,-0.396027,31,TEXACO ESHER ROAD (MOLESIDE SERVICE STATION),"ESHER ROAD, KT12 4JZ",True,True,True,,,True,True,,,,,,,,,,,
15,3895,51.2818512,-0.513389,33,SHELL PORTSMOUTH ROAD (SHELL WAITROSE BURNT COMMON),"PORTSMOUTH ROAD, GU23 7JY",,True,,,True,True,True,True,,True,True,,,,,,,
16,183,51.3744774,-0.4077839,35,TEXACO HERSHAM ROAD (WALTON HOUSE SERVICE STATION),"HERSHAM ROAD, KT12 1RZ",,True,,True,,True,True,,,,,,True,,,,,
17,1315,51.371327,-0.450129,36,SHELL OATLANDS DRIVE (SHELL WEYBRIDGE),"OATLANDS DRIVE, KT13 9DJ",,,,,,,,,,,,,,,,,,
18,17578,51.3070157,-0.2707185,17,TEXACO LANGLEY VALE ROAD (PARK EPSOM DOWNS SERVICE STATION),"LANGLEY VALE ROAD, KT18 6AP",,,,,,,,,,,,,,,,,,
19,1398,51.3735527,-0.3387764,18,SHELL ESHER (SHELL HINCHLEY WOOD),"KINGSTON BYPASS ROAD, KT10 9TL",True,True,,,True,True,True,True,True,True,,,True,,,True,,
20,1397,51.3283747,-0.2707016,40,BP DORKING ROAD (WOODCOTE SF CONNECT),"DORKING ROAD, KT18 7JW",,True,True,,,True,True,,,True,,,,,,,,
21,26275,51.3314895,-0.5309528000000001,20,ASDA WOKING SHEERWATER,"FORSYTH ROAD, GU21 5SB",,True,True,True,,,,True,,,,,True,,,,,
22,7669,51.3150266,-0.538369,21,TEXACO WOKING (MAYBURY HILL SERVICE STATION),"MAYBURY HILL, GU22 8AA",,True,,,,True,True,,,True,,,,,,,,
23,6978,51.3025629,-0.5461486,43,SHELL HIGH STREET (SHELL OLD WOKING),"HIGH STREET, GU22 9LN",,True,,,True,True,True,True,True,True,,True,True,,,,,
24,1390,51.3706503,-0.306101,22,JET CHESSINGTON (CHESSINGTON SERVICE STATION),"HOOK ROAD, KT9 1PL",,,,,,True,,,,,,,,,,,,
25,179,51.3920161,-0.4354942,23,ESSO SHEPPERTON (MFG SHEPPERTON),"WALTON BRIDGE ROAD, TW17 8NE",,,,,,,,,,,,,,,,,,
26,1400,51.360621,-0.281115,24,TEXACO EWELL (PARK WEST EWELL SERVICE STATION),"RUXLEY LANE, KT19 9EY",,,,True,,,True,True,,,,,True,,,,,
27,1354,51.375456,-0.303433,25,SHELL HOOK ROAD (SHELL ACE OF SPADES),"HOOK ROAD, KT6 5AT",True,True,,True,True,True,True,True,True,True,,True,,,,,,
28,6228,51.2460584,-0.5301627,45,BP EPSOM ROAD (MERROW SF CONNECT),"EPSOM ROAD, GU1 2RB",True,True,True,,,True,True,,,,,,,,,,,
29,1869,51.3399732,-0.2569319,26,SAINSBURYS KILN LANE,"KILN LANE, KT17 1EQ",,True,True,,True,True,True,True,,True,,,,True,True,,,
30,862,51.2590605,-0.5446091,27,BP LONDON ROAD (MFG PANTILES),"LONDON ROAD, GU4 7HR",True,,,,,True,,True,,True,,,True,,,,,
31,1209,51.3946091,-0.4483409,46,BP SHEPPERTON (SHEPPERTON SF CONNECT),"HIGH STREET, TW17 9AU",,True,,True,True,True,True,,True,True,True,,,,True,,,
32,18219,51.26171160000001,-0.5465498999999999,28,SAINSBURYS BURPHAM,"CLAY LANE, GU4 7JU",,True,True,,,True,,True,,,,,,,,,,
33,190,51.39023150000001,-0.324028,49,SHELL PORTSMOUTH ROAD (MFG LONG DITTON),"PORTSMOUTH ROAD, KT7 0XF",True,True,,True,,True,True,,,True,,True,True,,,True,,
34,881,51.324725,-0.399429,29,ESSO COBHAM (MFG BEECH),"STOKE ROAD, KT11 3AS",True,,,,,True,,True,,,,,,,,,,
