,name,station_id,station_location
0,M25 COBHAM MOTORWAY SERVICE AREA,25918,"M25 J9-10, KT11 3DB"
1,ESSO LEATHERHEAD ROAD (HYLANDS GARAGE),9635,"LEATHERHEAD ROAD, KT23 4RQ"
2,SAINSBURYS COBHAM,880,"PORTSMOUTH ROAD, KT11 1JF"
3,SHELL PORTSMOUTH ROAD (SHELL FAIRMILE),883,"PORTSMOUTH ROAD, KT11 1HU"
4,TESCO LEATHERHEAD,186,"OXSHOTT ROAD, KT22 0EF"
5,SHELL EAST HORSLEY (SHELL HORSLEY),7027,"GUILDFORD ROAD, KT24 6TA"
6,ESSO KINGSTON ROAD (RSS KINGSCROFT),185,"KINGSTON ROAD, KT22 7SP"
7,ESSO GIVONS GROVE (RSS LEATHERHEAD),188,"GIVONS GROVE, KT22 8LY"
8,BP A3 RIPLEY BYPASS (WISLEY SOUTH SF CONNECT),5174,"A3 RIPLEY BYPASS, GU23 6PU"
9,BP A3 RIPLEY BYPASS (WISLEY NORTH SF CONNECT),5173,"A3 RIPLEY BYPASS, GU23 6PT"
10,SHELL BROOKLANDS ROAD (SHELL ST GEORGES),1314,"BROOKLANDS ROAD, KT13 0RP"
11,SHELL ASHTEAD (SHELL ASHTEAD),1395,"THE STREET, KT21 2AD"
12,BP CHESSINGTON (RUSHETT SF CONNECT),1394,"LEATHERHEAD ROAD, KT9 2NH"
13,TESCO BROOKLANDS EXTRA,1312,"BARNES WALLACE DRIVE, KT13 0XF"
14,TEXACO ESHER ROAD (MOLESIDE SERVICE STATION),1317,"ESHER ROAD, KT12 4JZ"
15,SHELL PORTSMOUTH ROAD (SHELL WAITROSE BURNT COMMON),3895,"PORTSMOUTH ROAD, GU23 7JY"
16,TEXACO HERSHAM ROAD (WALTON HOUSE SERVICE STATION),183,"HERSHAM ROAD, KT12 1RZ"
17,SHELL OATLANDS DRIVE (SHELL WEYBRIDGE),1315,"OATLANDS DRIVE, KT13 9DJ"
18,TEXACO LANGLEY VALE ROAD (PARK EPSOM DOWNS SERVICE STATION),17578,"LANGLEY VALE ROAD, KT18 6AP"
19,SHELL ESHER (SHELL HINCHLEY WOOD),1398,"KINGSTON BYPASS ROAD, KT10 9TL"
20,BP DORKING ROAD (WOODCOTE SF CONNECT),1397,"DORKING ROAD, KT18 7JW"
21,ASDA WOKING SHEERWATER,26275,"FORSYTH ROAD, GU21 5SB"
