,name,station_id,station_location,lat,lng
0,M25 COBHAM MOTORWAY SERVICE AREA,25918,"M25 J9-10, KT11 3DB",51.3042081,-0.4057422
1,ESSO LEATHERHEAD ROAD (HYLANDS GARAGE),9635,"LEATHERHEAD ROAD, KT23 4RQ",51.277581,-0.365992
2,SAINSBURYS COBHAM,880,"PORTSMOUTH ROAD, KT11 1JF",51.33358399999999,-0.4222703
3,SHELL PORTSMOUTH ROAD (SHELL FAIRMILE),883,"PORTSMOUTH ROAD, KT11 1HU",51.3373617,-0.4047303
4,TESCO LEATHERHEAD,186,"OXSHOTT ROAD, KT22 0EF",51.3116633,-0.3354788
5,SHELL EAST HORSLEY (SHELL HORSLEY),7027,"GUILDFORD ROAD, KT24 6TA",51.2623541,-0.4309881
6,ESSO KINGSTON ROAD (RSS KINGSCROFT),185,"KINGSTON ROAD, KT22 7SP",51.3019446,-0.3302396
7,ESSO GIVONS GROVE (RSS LEATHERHEAD),188,"GIVONS GROVE, KT22 8LY",51.2825822,-0.3268569
8,BP A3 RIPLEY BYPASS (WISLEY SOUTH SF CONNECT),5174,"A3 RIPLEY BYPASS, GU23 6PU",51.29295,-0.49001
9,BP A3 RIPLEY BYPASS (WISLEY NORTH SF CONNECT),5173,"A3 RIPLEY BYPASS, GU23 6PT",51.29295,-0.49001
10,SHELL BROOKLANDS ROAD (SHELL ST GEORGES),1314,"BROOKLANDS ROAD, KT13 0RP",51.3465862,-0.4630118
11,SHELL ASHTEAD (SHELL ASHTEAD),1395,"THE STREET, KT21 2AD",51.3089711,-0.3011127
12,BP CHESSINGTON (RUSHETT SF CONNECT),1394,"LEATHERHEAD ROAD, KT9 2NH",51.3383913,-0.3192888
13,TESCO BROOKLANDS EXTRA,1312,"BARNES WALLACE DRIVE, KT13 0XF",51.3448276,-0.4752797
14,TEXACO ESHER ROAD (MOLESIDE SERVICE STATION),1317,"ESHER ROAD, KT12 4JZ",51.3681835,-0.396027
15,SHELL PORTSMOUTH ROAD (SHELL WAITROSE BURNT COMMON),3895,"PORTSMOUTH ROAD, GU23 7JY",51.2818512,-0.513389
16,TEXACO HERSHAM ROAD (WALTON HOUSE SERVICE STATION),183,"HERSHAM ROAD, KT12 1RZ",51.3744774,-0.4077839
17,SHELL OATLANDS DRIVE (SHELL WEYBRIDGE),1315,"OATLANDS DRIVE, KT13 9DJ",51.371327,-0.450129
18,TEXACO LANGLEY VALE ROAD (PARK EPSOM DOWNS SERVICE STATION),17578,"LANGLEY VALE ROAD, KT18 6AP",51.3070157,-0.2707185
19,SHELL ESHER (SHELL HINCHLEY WOOD),1398,"KINGSTON BYPASS ROAD, KT10 9TL",51.3735527,-0.3387764
20,BP DORKING ROAD (WOODCOTE SF CONNECT),1397,"DORKING ROAD, KT18 7JW",51.3283747,-0.2707016
21,ASDA WOKING SHEERWATER,26275,"FORSYTH ROAD, GU21 5SB",51.3314895,-0.5309528000000001
22,TEXACO WOKING (MAYBURY HILL SERVICE STATION),7669,"MAYBURY HILL, GU22 8AA",51.3150266,-0.538369
23,SHELL HIGH STREET (SHELL OLD WOKING),6978,"HIGH STREET, GU22 9LN",51.3025629,-0.5461486
24,JET CHESSINGTON (CHESSINGTON SERVICE STATION),1390,"HOOK ROAD, KT9 1PL",51.3706503,-0.306101
25,ESSO SHEPPERTON (MFG SHEPPERTON),179,"WALTON BRIDGE ROAD, TW17 8NE",51.3920161,-0.4354942
26,TEXACO EWELL (PARK WEST EWELL SERVICE STATION),1400,"RUXLEY LANE, KT19 9EY",51.360621,-0.281115
27,SHELL HOOK ROAD (SHELL ACE OF SPADES),1354,"HOOK ROAD, KT6 5AT",51.375456,-0.303433
28,BP EPSOM ROAD (MERROW SF CONNECT),6228,"EPSOM ROAD, GU1 2RB",51.2460584,-0.5301627
29,SAINSBURYS KILN LANE,1869,"KILN LANE, KT17 1EQ",51.3399732,-0.2569319
30,BP LONDON ROAD (MFG PANTILES),862,"LONDON ROAD, GU4 7HR",51.2590605,-0.5446091
31,BP SHEPPERTON (SHEPPERTON SF CONNECT),1209,"HIGH STREET, TW17 9AU",51.3946091,-0.4483409
32,SAINSBURYS BURPHAM,18219,"CLAY LANE, GU4 7JU",51.26171160000001,-0.5465498999999999
33,SHELL PORTSMOUTH ROAD (MFG LONG DITTON),190,"PORTSMOUTH ROAD, KT7 0XF",51.39023150000001,-0.324028
34,ESSO COBHAM (MFG BEECH),881,"STOKE ROAD, KT11 3AS",51.324725,-0.399429
35,BP GUILDFORD ROAD (MFG SHIRLEY),9634,"GUILDFORD ROAD, KT23 4HB",51.26928789999999,-0.3871439
36,ESSO HIGH STREET (MFG OXSHOTT),1321,"HIGH STREET, KT22 0JR",51.3325435,-0.3565636
37,BP KINGSTON ROAD (LEATHERHEAD SF CONNECT),184,"KINGSTON ROAD, KT22 7BL",51.29823320000001,-0.3303851
38,JET WEST BYFLEET (MFG OYSTER LANE),1311,"OYSTER LANE, KT14 7JH",51.34632300000001,-0.4804754000000001
39,BP HERSHAM ROAD (HKS HALFWAY HOUSE),1319,"HERSHAM ROAD, KT12 5NR",51.3733,-0.40589
40,ESSO WEST BYFLEET (WEST BYFLEET EXPRESS),2577,"OLD WOKING ROAD, KT14 6JA",51.3360474,-0.5063563
41,ESSO LONDON ROAD (RSS PIPPBROOK),3049,"LONDON ROAD, RH4 1JA",51.23766089999999,-0.3246096
42,BP DORKING (DORKING SERVICE CENTRE),5527,"REIGATE ROAD, RH4 1SG",51.2344804,-0.3262643
43,ESSO STATION ROAD (MFG DOWNSIDE),9606,"STATION ROAD, GU5 9LQ",51.221117,-0.4498346
44,BP MOLESEY ROAD (MOLESEY SERVICE STATION),1325,"MOLESEY ROAD, KT12 3PW",51.386731,-0.386635
45,JET WOKING (COLLEGE SERVICE STATION),5866,"COLLEGE ROAD, GU22 8BT",51.3226952,-0.5404492
46,TESCO ADDLESTONE EXTRA,5248,"STATION ROAD, KT15 2AS",51.371996,-0.4887124
47,SHELL ADDLESTONE (SHELL ADDLESTONE),1306,"CHERTSEY ROAD, KT15 2ED",51.376677,-0.492526
48,TEXACO TATTENHAM CRESCENT (TATTENHAM CORNER SERVICE STATION),1818,"TATTENHAM CRESCENT, KT18 5QJ",51.3099524,-0.2417202
49,TEXACO SHELVERS HILL (MFG TADWORTH),1819,"SHELVERS HILL, KT20 5PU",51.297194,-0.2378789
50,ASDA BURGH HEATH AUTOMAT,26230,"REIGATE ROAD, KT20 5NZ",51.3093164,-0.222075
51,SHELL BANSTEAD (SHELL WAITROSE BURGH HEATH),1825,"BRIGHTON ROAD, KT20 6AA",51.3062905,-0.2196261
52,ESSO EPSOM (EWELL EXPRESS),1402,"REIGATE ROAD, KT17 1PG",51.34510179999999,-0.2489555
53,SHELL BUCKLAND (SHELL BUCKLAND),4431,"REIGATE ROAD, RH3 7ET",51.2453632,-0.258669
54,TEXACO BRIGHTON ROAD (PARK MOGADOR SERVICE STATION),1821,"BRIGHTON ROAD, KT20 6SU",51.2708424,-0.2117363
55,BP TADWORTH (OAK TREE SF CONNECT),1824,"BRIGHTON ROAD, KT20 6SY",51.2702524,-0.2121036
